"material";"cost";"date_import";"created_at";"updated_at"
"BUFBK10012S9CUG003";"59.23";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBK10012S9CUG004";"0";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBK10024S1CUG001";"113.28";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBK10024S1CUG002";"111.07";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBK10024S5AUG002";"110.61";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBK10024S5CUG001";"0";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBK10024S6CUG001";"115.17";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBK10036S6CUG001";"0";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBL10001M1CUD001";"169.16";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBL10001S7CUD001";"20.87";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBL10001S7CUD002";"14.38";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBL10004S7CBX001";"43.64";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBL10006S1CUG001";"34.44";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBL10006S7AUG001";"74.68";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBL10006S7AUG002";"70.44";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBL10006S7CUG001";"0";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBL10006S7CUG002";"3.06";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBL10008S1CUG001";"60.29";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBL10010S1AUG001";"0";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBL10012M2CUG001";"222.28";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBL10012S1AUG001";"53.74";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBL10012S1AUG006";"0";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBL10012S1AUG016";"0";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
"BUFBL10012S1AUG017";"62.14";"2021-08-25";"2021-08-26 09:32:30";"2021-08-26 09:32:30"
